score,title,company,salary,location,source,posted,url,why
88,"Senior Manager, QA Engineering",Camunda,,Remote,Arbeitnow,2026-08-26,https://www.arbeitnow.co.uk/jobs/companies/camunda/remote-senior-manager-qa-engineering-476931,+25 playwright; +10 ci/cd; +10 senior; +8 lead; +20 worldwide; +15 anywhere
116,"Senior Infrastructure Test Engineer, DevOps",Keeper Security,,Remote,RemoteJobs.org,2026-08-25,https://remotejobs.org/remote-jobs/senior-infrastructure-test-engineer-devops-keeper-security-inc,+15 pytest; +15 python; +10 ci/cd; +5 jenkins; +5 github actions; +5 docker; +8 aws; +20 sdet; +10 senior; +8 lead; +15 emea
95,Senior QA Engineer,Lemon.io,,Europe,WorkingNomads,2026-08-25,https://www.workingnomads.com/job/go/1814693/,+25 playwright; +15 cypress; +10 selenium; +15 python; +10 senior; +20 europe
91,Senior Quality Assurance Engineer,DualEntry,"USD 40,000 - 85,000",Remote,RemoteJobs.org,2026-08-25,https://remotejobs.org/remote-jobs/senior-quality-assurance-engineer-dualentry-himala,+15 cypress; +10 selenium; +15 api testing; +10 sql; +10 ci/cd; +5 docker; +8 aws; +10 senior; +8 lead
68,Senior Quality Analyst,Starrez,,,Arbeitnow,2026-08-25,https://www.arbeitnow.co.uk/jobs/companies/starrez/senior-quality-analyst-330064,+25 playwright; +15 cypress; +10 ci/cd; +10 senior; +8 lead
51,Automation Engineer (All genders),Stark,,Munich,Arbeitnow,2026-08-25,https://www.arbeitnow.com/jobs/companies/stark/automation-engineer-all-genders-munich-143675,+15 python; +8 rest api; +8 lead; +20 europe
50,Test Automation Engineer,R3vamp Limited,"~$56,152 (est.)","Reading, Berkshire",Adzuna,2026-08-25,https://www.adzuna.co.uk/jobs/details/5855621709?utm_medium=api&utm_source=e4a2e9e1,+25 playwright; +15 api testing; +10 ci/cd
45,SDET / AI Consultant,FutureTech Consultants LLC,"~$60,972 (est.)",US,Adzuna,2026-08-25,https://www.adzuna.com/land/ad/5855700805?se=9LmlWR2h8RG7j7TsS0oVjg&utm_medium=api&utm_source=e4a2e9e1&v=EDEDC0C842E21E0300A927D848637C9FAEB29842,+25 playwright; +20 sdet
43,Datalink Integration & Test Engineer – Communications / MANET (all genders),Stark,,Berlin,Arbeitnow,2026-08-25,https://www.arbeitnow.com/jobs/companies/stark/datalink-integration-test-engineer-communications-manet-all-genders-berlin-488529,+15 python; +8 lead; +20 europe
43,Senior QA Automation Engineer,Ocho,"~$65,000 (est.)","Belfast, Northern Ireland",Adzuna,2026-08-25,https://www.adzuna.co.uk/jobs/land/ad/5855395434?se=ZmhOXh2h8RG7j7TsS0oVjg&utm_medium=api&utm_source=e4a2e9e1&v=FD3FA409BE48A64A9ED3197F88A14CEBD5B8167A,+25 playwright; +10 senior; +8 lead
43,Senior QA Automation Engineer,Ocho People,"$55,000–$65,000","Belfast, Northern Ireland",Adzuna,2026-08-25,https://www.adzuna.co.uk/jobs/details/5855407151?utm_medium=api&utm_source=e4a2e9e1,+25 playwright; +10 senior; +8 lead
103,SDET – Regression Automation Engineer,Oowlish Technology,,"Argentina, Brazil, Mexico",RemoteJobs.org,2026-08-24,https://remotejobs.org/remote-jobs/sdet-regression-automation-engineer-oowlish-technology-151503,+15 api testing; +10 data pipeline; +10 ci/cd; +8 aws; +20 sdet; +20 worldwide; +20 europe
66,Software Tester,OneOcean,,Remote,RemoteJobs.org,2026-08-24,https://remotejobs.org/remote-jobs/software-tester-oneocean,+15 python; +15 api testing; +8 rest api; +10 sql; +10 ci/cd; +8 lead
50,QA Automation & Performance Test Engineer,"Mavensoft Technologies, LLC","~$137,542 (est.)","Glendale, Denver",Adzuna,2026-08-24,https://www.adzuna.com/land/ad/5854470793?se=iqu2Vx2h8RGCZtbxFymUqg&utm_medium=api&utm_source=e4a2e9e1&v=C6815991E159B47260C6AB509615B64D5F5E30DD,+25 playwright; +15 api testing; +10 sql
88,CRM Tester,Liventus,,Remote,RemoteJobs.org,2026-08-22,https://remotejobs.org/remote-jobs/crm-tester-liventus,+10 selenium; +15 python; +15 api testing; +15 etl; +15 data quality; +10 sql; +8 lead
68,Senior Quality Engineer,Robinhood,,"Toronto, Canada",Greenhouse,2026-08-19,https://boards.greenhouse.io/robinhood/jobs/8142285?t=gh_src=&gh_jid=8142285,+25 playwright; +10 selenium; +15 python; +8 aws; +10 senior
101,QA Automation Engineer (QB - QA - 20260617),Celara,,Remote,RemoteJobs.org,2026-08-18,https://remotejobs.org/remote-jobs/qa-automation-engineer-qb-qa-20260617-celara,+25 playwright; +10 selenium; +15 api testing; +8 rest api; +10 ci/cd; +5 docker; +20 sdet; +8 lead
40,Test Engineer II,CSG,,Remote,RemoteJobs.org,2026-08-15,https://remotejobs.org/remote-jobs/test-engineer-ii-csg,+15 python; +10 sql; +10 ci/cd; +5 jenkins
81,Senior Salesforce QA Analyst,Blue Cross & Blue Shield of Rhode Island,"USD 93,600 - 140,400",Remote,RemoteJobs.org,2026-08-14,https://remotejobs.org/remote-jobs/senior-salesforce-qa-analyst-blue-cross-blue-shield-of-rhode-island,+15 api testing; +15 etl; +15 data quality; +10 ci/cd; +8 aws; +10 senior; +8 lead
58,QA/DevOps Engineer,Discord,,San Francisco Bay Area,Greenhouse,2026-08-13,https://job-boards.greenhouse.io/discord/jobs/8703614002,+10 selenium; +15 python; +10 ci/cd; +5 jenkins; +5 github actions; +5 docker; +8 lead
78,Software Tester - Fully Remote | Upto $60/hr,mercor,USD 30 - 60,Remote,RemoteJobs.org,2026-08-13,https://remotejobs.org/remote-jobs/software-tester-fully-remote-upto-60hr-mercor,+25 playwright; +15 cypress; +10 selenium; +20 sdet; +8 lead
70,Senior SDET / Quality Automation Engineer – Python & Basic AI,Walter Everett,"~$66,593 (est.)",UK,Adzuna,2026-08-13,https://www.adzuna.co.uk/jobs/details/5839162835?utm_medium=api&utm_source=e4a2e9e1,+15 python; +15 etl; +10 sql; +20 sdet; +10 senior
65,[Job-30854] AI SDET (Software Development Engineer in Test),CI&T,,Remote,RemoteJobs.org,2026-08-13,https://remotejobs.org/remote-jobs/job-30854-ai-sdet-software-development-engineer-in-test-cit,+15 pytest; +15 python; +15 data quality; +20 sdet
43,Software Test Engineer III,Makpar,,Remote,RemoteJobs.org,2026-08-10,https://remotejobs.org/remote-jobs/software-test-engineer-iii-makpar,+10 selenium; +10 sql; +10 ci/cd; +5 jenkins; +8 lead
65,SDET Analyst I,Global Payments,,Remote,RemoteJobs.org,2026-08-08,https://remotejobs.org/remote-jobs/sdet-analyst-i-global-payments,+15 python; +10 sql; +20 sdet; +20 worldwide
53,Software Tester (QA Analyst),Hathiant,,Remote,RemoteJobs.org,2026-08-08,https://remotejobs.org/remote-jobs/software-tester-qa-analyst-hathiant,+10 selenium; +15 api testing; +10 sql; +10 ci/cd; +8 aws
65,SDET / Engineer in Test,SQDM,,Remote,RemoteJobs.org,2026-08-06,https://remotejobs.org/remote-jobs/sdet-engineer-in-test-sqdm,+10 selenium; +15 python; +10 ci/cd; +5 jenkins; +5 docker; +20 sdet
43,Australian English - AI Product Tester,Productive Playhouse,,Remote,RemoteJobs.org,2026-08-06,https://remotejobs.org/remote-jobs/australian-english-ai-product-tester-productive-playhouse,+8 lead; +20 worldwide; +15 anywhere
118,QA Engineer,Workwize,,Remote,RemoteJobs.org,2026-08-05,https://remotejobs.org/remote-jobs/qa-engineer-workwize-himala,+25 playwright; +15 cypress; +15 api testing; +10 ci/cd; +5 github actions; +8 aws; +20 worldwide; +20 europe
131,Test Automation Engineer,Bright Vision Technologies,"USD 100,000 - 150,000",Remote,RemoteJobs.org,2026-07-31,https://remotejobs.org/remote-jobs/test-automation-engineer-bright-vision-technologies,+25 playwright; +15 cypress; +10 selenium; +15 python; +10 sql; +10 ci/cd; +5 jenkins; +5 github actions; +8 aws; +20 sdet; +8 lead
151,"QA Engineer (SDET) — AI, Data & Platform Quality",Extractable,,Remote,RemoteJobs.org,2026-07-30,https://remotejobs.org/remote-jobs/qa-engineer-sdet-ai-data-platform-quality-extractable,+25 playwright; +10 selenium; +15 pytest; +15 python; +15 etl; +15 data quality; +10 data pipeline; +10 sql; +8 aws; +20 sdet; +8 lead
40,"Staff Engineer, Quality Assurance (R5358)",Shieldai,,Wichita Metro Area,Lever,2026-07-30,https://jobs.lever.co/shieldai/7f7e2632-717e-4684-a7a5-058e94360d81,+20 worldwide; +20 europe
93,Software QA Tester (Automation Testing),SupportNinja,,Remote,RemoteJobs.org,2026-07-29,https://remotejobs.org/remote-jobs/software-qa-tester-automation-testing-supportninja,+25 playwright; +15 cypress; +10 selenium; +15 api testing; +8 rest api; +10 sql; +10 ci/cd
51,Senior IT Automation Engineer,Coinbase,,Remote - USA,Greenhouse,2026-07-29,https://www.coinbase.com/careers/positions/8095207?gh_jid=8095207,+10 ci/cd; +8 aws; +10 senior; +8 lead; +15 emea
58,QA/Test Engineer (Survivor Portal),DecisionPoint Corporation,,Remote,RemoteJobs.org,2026-07-28,https://remotejobs.org/remote-jobs/qatest-engineer-survivor-portal-decisionpoint-corporation,+15 cypress; +10 selenium; +15 api testing; +10 ci/cd; +8 aws
78,Software Test Engineer,CACI International Inc,"USD 75,200 - 158,100",Remote,RemoteJobs.org,2026-07-26,https://remotejobs.org/remote-jobs/software-test-engineer-caci-international-inc,+25 playwright; +15 python; +10 sql; +10 ci/cd; +5 jenkins; +5 docker; +8 aws
43,Sr. Software QA Automation Engineer,Revvity,,Remote,RemoteJobs.org,2026-07-25,https://remotejobs.org/remote-jobs/sr-software-qa-automation-engineer-revvity,+25 playwright; +10 selenium; +8 lead
58,Staff Quality Engineer,Robinhood,,"Menlo Park, CA",Greenhouse,2026-07-23,https://boards.greenhouse.io/robinhood/jobs/8082056?t=gh_src=&gh_jid=8082056,+25 playwright; +10 selenium; +15 python; +8 aws
63,Senior Software Engineer in Test (SDET),Hazelcast,,Remote,RemoteJobs.org,2026-07-22,https://remotejobs.org/remote-jobs/senior-software-engineer-in-test-sdet-hazelcast,+10 ci/cd; +5 jenkins; +5 github actions; +5 docker; +8 aws; +20 sdet; +10 senior
146,Senior QA Automation Engineer,Zartis,,European Timezone,RemoteJobs.org,2026-07-20,https://remotejobs.org/remote-jobs/senior-qa-automation-engineer-zartis-lever_,+25 playwright; +10 selenium; +10 sql; +10 ci/cd; +5 jenkins; +5 github actions; +8 aws; +20 sdet; +10 senior; +8 lead; +20 europe; +15 emea
131,Software Test Engineer,Bright Vision Technologies,"USD 100,000 - 150,000",Remote,RemoteJobs.org,2026-07-19,https://remotejobs.org/remote-jobs/software-test-engineer-bright-vision-technologies,+25 playwright; +15 cypress; +10 selenium; +15 python; +10 sql; +10 ci/cd; +5 jenkins; +5 github actions; +8 aws; +20 sdet; +8 lead
73,Senior SDET - GovTech Industry (Colombia),Truelogic,,LATAM,RemoteJobs.org,2026-07-14,https://remotejobs.org/remote-jobs/senior-sdet-govtech-industry-colombia-truelogic,+25 playwright; +10 ci/cd; +20 sdet; +10 senior; +8 lead
91,QA Engineer - Core Database,ClickHouse,"USD 141,000 - 208,000",Remote,RemoteJobs.org,2026-07-13,https://remotejobs.org/remote-jobs/qa-engineer-core-database-clickhouse,+15 python; +10 sql; +8 aws; +20 sdet; +10 senior; +8 lead; +20 worldwide
48,Systems Test Engineer (R5243),Shieldai,,London,Lever,2026-06-25,https://jobs.lever.co/shieldai/063e8ca4-9077-4edf-b85e-04dcfdf9afc3,+8 lead; +20 worldwide; +20 europe
58,"Quality Engineer, Mobile",Robinhood,,"Toronto, Canada",Greenhouse,2026-06-22,https://boards.greenhouse.io/robinhood/jobs/7739588?t=gh_src=&gh_jid=7739588,+25 playwright; +10 selenium; +15 python; +8 aws
101,"SDET II, tvScientific",Pinterest,,"San Francisco, CA, US; Remote, US",Greenhouse,2026-06-17,https://www.pinterestcareers.com/jobs/?gh_jid=8011568,+25 playwright; +15 cypress; +15 api testing; +10 ci/cd; +8 aws; +20 sdet; +8 lead
53,Senior SDET,Tala,,MX,Lever,2026-06-15,https://jobs.lever.co/tala/3f5a4c31-92c2-4cec-8b52-4ab7b8aba8c2,+20 sdet; +10 senior; +8 lead; +15 anywhere
73,"Senior Web Automation Engineer, Quality Platform",Airbnb,,Brazil,Greenhouse,2026-04-29,https://careers.airbnb.com/positions/7863467?gh_jid=7863467,+25 playwright; +15 cypress; +10 ci/cd; +5 jenkins; +10 senior; +8 lead
43,SDET II,Tala,,IN,Lever,2025-11-19,https://jobs.lever.co/tala/ad2121e6-4421-4858-a3b3-5e5bc36e6bc9,+20 sdet; +8 lead; +15 anywhere
63,"Staff Web Automation Engineer, Quality Engineering",Airbnb,,Brazil - Remote,Greenhouse,2025-11-06,https://careers.airbnb.com/positions/7380185?gh_jid=7380185,+25 playwright; +15 cypress; +10 ci/cd; +5 jenkins; +8 lead
50,"Senior Engineer, VBAT Software Test Automation (Hiring Multiple Levels)",Shieldai,,"Dallas, Texas",Lever,2025-08-28,https://jobs.lever.co/shieldai/d0635c93-bb07-4585-80d3-c53aaa2fdf6d,+10 senior; +20 worldwide; +20 europe
